time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-13T10:33:44.492Z,45.6313,148.9293,144,7,mww,,35,4.477,0.84,us,us70007pa9,2020-02-14T10:39:06.323Z,"93km ENE of Kuril'sk, Russia",earthquake,7.8,1.9,0.027,131,reviewed,us,us
2020-02-13T10:16:07.844Z,-5.5849,153.0788,10,5.2,mb,,65,1.657,1.14,us,us70007pa5,2020-02-13T10:31:17.040Z,"123km S of Taron, Papua New Guinea",earthquake,8.7,1.9,0.092,39,reviewed,us,us
2020-02-13T06:53:31.365Z,51.2977,-175.121,22.08,4.6,mb,,135,0.988,0.99,us,us70007p7s,2020-02-13T21:18:57.692Z,"118km SSW of Atka, Alaska",earthquake,9.3,5.8,0.041,175,reviewed,us,us
2020-02-13T06:50:47.151Z,-19.3053,168.8042,114.58,5.1,mb,,124,2.283,0.78,us,us70007p7m,2020-02-13T07:08:37.040Z,"55km WNW of Isangel, Vanuatu",earthquake,8.5,7.7,0.114,25,reviewed,us,us
2020-02-13T05:50:38.449Z,-20.9534,-70.7874,10,5,mww,,136,0.908,0.68,us,us70007p6w,2020-02-13T08:35:26.312Z,"105km SW of Iquique, Chile",earthquake,3.9,1.9,0.08,15,reviewed,us,us
2020-02-13T04:31:52.248Z,-15.9472,-74.6272,35,5,mww,,147,4.485,0.96,us,us70007p6c,2020-02-13T05:03:18.398Z,"57km S of Acari, Peru",earthquake,10,2,0.08,15,reviewed,us,us
2020-02-13T03:55:47.842Z,27.0792,129.4238,10,4.9,mb,,121,1.055,0.91,us,us70007p63,2020-02-13T04:14:03.040Z,"142km S of Naze, Japan",earthquake,11.9,1.9,0.122,21,reviewed,us,us
2020-02-12T14:57:51.105Z,-17.7597,-178.5502,549.11,4.8,mb,,40,3.237,0.76,us,us70007ntu,2020-02-12T15:15:32.040Z,"265km SE of Lambasa, Fiji",earthquake,4.4,8.7,0.035,257,reviewed,us,us
2020-02-12T13:05:44.223Z,11.1876,-86.8172,35.93,4.5,mb,,167,1.106,0.55,us,us70007nsg,2020-02-12T13:22:16.040Z,"74km SSW of Masachapa, Nicaragua",earthquake,3.8,11.5,0.045,142,reviewed,us,us
2020-02-12T10:37:19.111Z,37.2946,141.304,80.7,5.2,mww,,67,2.594,0.84,us,us70007nqa,2020-02-13T12:34:23.102Z,"34km SE of Namie, Japan",earthquake,7.8,5.8,0.075,17,reviewed,us,us
2020-02-12T08:59:25.286Z,-24.1641,-176.1798,92.01,5.2,mb,,90,5.296,1.32,us,us70007npb,2020-02-12T09:15:18.040Z,"South of the Fiji Islands",earthquake,10.7,7.6,0.122,22,reviewed,us,us
2020-02-12T05:55:09.989Z,0.7902,98.9466,81.22,4.5,mb,,98,1.462,0.85,us,us70007nmd,2020-02-12T06:20:16.040Z,"73km SSW of Padangsidempuan, Indonesia",earthquake,7.3,7.8,0.127,18,reviewed,us,us
2020-02-12T00:43:19.540Z,52.6402,171.859,10,4.9,mb,,146,1.369,0.67,us,us70007njd,2020-02-12T01:02:31.040Z,"92km WSW of Attu Station, Alaska",earthquake,10.7,1.9,0.029,373,reviewed,us,us
2020-02-11T21:42:43.476Z,-20.9359,-70.7684,10,4.6,mwr,,139,0.899,1.25,us,us70007nev,2020-02-12T01:06:24.938Z,"102km SW of Iquique, Chile",earthquake,4,1.9,0.045,47,reviewed,us,us
2020-02-11T21:04:16.649Z,4.5291,83.4764,10,4.7,mb,,101,3.878,1.03,us,us70007ndd,2020-02-13T07:42:27.003Z,"North Indian Ocean",earthquake,8.9,1.8,0.082,45,reviewed,us,us
2020-02-11T19:14:33.203Z,37.8626,140.2131,105.36,4.5,mb,,116,2.049,1.41,us,us70007nac,2020-02-11T22:14:35.040Z,"10km SE of Yonezawa, Japan",earthquake,8,2.7,0.049,122,reviewed,us,us
2020-02-11T18:03:16.738Z,-23.3926,-179.5811,541.39,4.8,mb,,119,6.04,0.62,us,us70007n8h,2020-02-13T22:12:53.040Z,"South of the Fiji Islands",earthquake,15.8,12.3,0.167,11,reviewed,us,us
2020-02-11T18:02:21.358Z,44.7952,97.0823,10,4.6,mb,,53,7.138,1.12,us,us70007n8a,2020-02-13T22:09:43.040Z,"64km SW of Sangiyn Dalay, Mongolia",earthquake,10.5,1.9,0.082,44,reviewed,us,us
2020-02-11T17:52:46.065Z,17.6272,94.3198,38.29,4.6,mb,,57,4.042,0.51,us,us70007n83,2020-02-11T20:16:07.322Z,"103km NNW of Pathein, Burma",earthquake,7.9,6.3,0.088,44,reviewed,us,us
2020-02-11T16:21:59.222Z,-10.5643,165.9607,70.59,4.7,mb,,117,11.453,0.55,us,us70007sfr,2020-02-18T20:56:36.040Z,"21km NE of Lata, Solomon Islands",earthquake,12.9,5.3,0.12,21,reviewed,us,us
2020-02-11T16:11:45.309Z,-23.8965,-179.8939,517.22,4.6,mb,,104,5.609,0.7,us,us70007sfp,2020-02-18T20:43:42.040Z,"South of the Fiji Islands",earthquake,9.1,6.9,0.081,46,reviewed,us,us
2020-02-11T16:06:05.914Z,-23.4038,-174.2914,10,4.6,mb,,102,5.925,0.61,us,us70007sfq,2020-02-18T20:27:10.040Z,"239km SSE of `Ohonua, Tonga",earthquake,9.3,1.9,0.173,15,reviewed,us,us
2020-02-11T15:15:47.079Z,-5.987,150.2311,52.7,5.3,mww,,90,2.624,0.8,us,us70007n4a,2020-02-18T20:02:09.040Z,"49km SSE of Kimbe, Papua New Guinea",earthquake,4,6.5,0.075,17,reviewed,us,us
2020-02-11T15:02:16.914Z,-32.8292,-178.5449,10,4.8,mb,,136,3.611,1.02,us,us70007n3m,2020-02-18T19:35:36.040Z,"158km SSE of L'Esperance Rock, New Zealand",earthquake,11.4,1.9,0.161,17,reviewed,us,us
2020-02-11T13:50:02.742Z,-24.7854,-70.8768,37.69,5.3,mww,,108,0.458,0.38,us,us70007n2x,2020-02-18T19:04:41.546Z,"78km NNW of Taltal, Chile",earthquake,4.8,3.8,0.066,22,reviewed,us,us
